id1;id2;start1;end1;start2;end2;E
Gene695;sRNA9;685;696;117;128;-43.19
Gene1828;sRNA189;560;583;151;174;-37.57
Gene1967;sRNA150;1217;1227;51;61;-31.76
Gene1017;sRNA214;836;859;114;137;-30.73
Gene2859;sRNA50;764;770;113;119;-30.44
Gene325;sRNA50;1384;1401;17;34;-30.28
Gene217;sRNA3;1034;1059;148;173;-25.67
Gene909;sRNA221;278;292;46;60;-25.35
Gene56;sRNA6;600;610;53;63;-23.02
Gene2593;sRNA214;1095;1112;184;201;-22.37
Gene1668;sRNA305;1497;1521;198;222;-22.27
Gene610;sRNA50;601;614;32;45;-22.15
Gene1764;sRNA50;1421;1433;164;176;-22.12
Gene1111;sRNA221;315;339;191;215;-22.1
Gene1117;sRNA272;706;713;191;198;-21.78
Gene959;sRNA185;552;576;151;175;-21.37
Gene2130;sRNA29;88;106;27;45;-20.84
Gene2400;sRNA29;175;183;159;167;-20.75
Gene311;sRNA11;850;874;107;131;-20.45
Gene1396;sRNA6;538;566;36;64;-20.44
Gene262;sRNA101;846;869;141;164;-20.24
Gene488;sRNA177;73;88;182;197;-20.12
Gene2417;sRNA133;778;798;50;70;-20.07
Gene1967;sRNA90;116;142;70;96;-19.9
Gene1350;sRNA305;977;1005;135;163;-19.84
Gene2683;sRNA31;756;777;5;26;-19.83
Gene2562;sRNA9;1456;1465;33;42;-19.77
Gene1290;sRNA17;449;481;24;56;-19.72
Gene1098;sRNA209;851;873;33;55;-19.62
Gene80;sRNA203;100;112;106;118;-19.57
Gene2491;sRNA249;1202;1214;119;131;-19.33
Gene698;sRNA225;756;781;110;135;-19.15
Gene1438;sRNA2;798;814;28;44;-19.13
Gene1370;sRNA56;660;683;147;170;-19.12
Gene349;sRNA331;1172;1184;148;160;-19.11
Gene2309;sRNA149;911;941;73;103;-19.05
Gene953;sRNA9;424;446;12;34;-19.03
Gene2507;sRNA56;1313;1324;140;151;-18.93
Gene2639;sRNA204;1290;1321;169;200;-18.92
Gene1548;sRNA177;698;720;182;204;-18.88
Gene1142;sRNA157;640;674;104;138;-18.88
Gene292;sRNA212;545;559;103;117;-18.86
Gene2779;sRNA128;544;556;54;66;-18.86
Gene2401;sRNA8;715;736;199;220;-18.84
Gene794;sRNA221;245;260;39;54;-18.76
Gene597;sRNA242;152;183;61;92;-18.71
