sRNA	Index	Target	Energy	P-value	Probability	sRNA start	sRNA stop	Target start	Target stop	Annotation	Interaction
sRNA9	1	Gene695	-73.8	0.0006510700086173	0.9397760159115304	37	51	-84	-52	Glu/Leu/Phe/Val dehydrogenase	((((((((((((((((((&))))))))))))))))))
sRNA189	2	Gene1828	-7.35	0.409141454907635	0.103524755370168	18	40	-78	-46	DUF1672 domain-containing protein	((&))
sRNA150	3	Gene1967	-10.42	0.3733008500177885	0.0860661752172607	27	35	-78	-23	indole-3-glycerol phosphate synthase TrpC	((&))
sRNA214	4	Gene1017	-10.24	0.7227111715915511	0.0666700991602494	22	41	-78	-24	carboxylesterase/lipase family protein	((&))
sRNA50	5	Gene2859	-11.53	0.3675535239024635	0.0867845368021125	11	24	-73	-36	histidine--tRNA ligase	((&))
sRNA50	6	Gene325	-25.82	0.0004554087204459	0.2190655828261864	29	43	-20	11	malic enzyme-like NAD(P)-binding protein	((((((&))))))
sRNA3	7	Gene217	-18.48	0.0124621162776423	0.153624604881304	3	17	-1	51	NifU N-terminal domain-containing protein	((((&))))
sRNA221	8	Gene909	-18.7	0.7366468340908723	0.0722914758525813	36	47	-146	-125	exodeoxyribonuclease VII large subunit	((((&))))
sRNA6	9	Gene56	-8.41	0.559262482364438	0.0650380690244683	37	53	15	40	gluconokinase	((&))
sRNA214	10	Gene2593	-8.14	0.7817556285991887	0.0634406283517381	34	65	-12	25	SAUGI family uracil-DNA glycosylase inhibitor	((&))
sRNA305	11	Gene1668	-8.45	0.0038376580760148	0.235358162405554	10	29	-36	18	SMEK domain-containing protein	((&))
sRNA50	12	Gene610	-33.53	0.0001297463325059	0.3398973634791996	21	30	-50	-27	serine O-acetyltransferase	((((((((&))))))))
sRNA50	13	Gene1764	-7.86	0.2148881831688915	0.0949015053486827	16	27	-149	-111	ribonuclease P protein component	((&))
sRNA221	14	Gene1111	-20.27	0.3400720729672193	0.1027124572393925	5	44	0	46	tRNA1(Val) (adenine(37)-N6)-methyltransferase	(((((&)))))
sRNA272	15	Gene1117	-12.97	0.2293209711562431	0.0943326534394982	33	62	-70	-40	CPBP family intramembrane glutamic endopeptidase SdpA	(((&)))
sRNA185	16	Gene959	-8.42	0.6468070953004929	0.0635123131658537	6	44	-199	-170	orotidine-5'-phosphate decarboxylase	((&))
sRNA29	17	Gene2130	-6.42	0.5023540771481321	0.2521254843213809	26	52	-86	-48	phosphoribosylaminoimidazolesuccinocarboxamide synthase	((&))
sRNA29	18	Gene2400	-11.23	0.5006839228853959	0.2527210549286334	17	38	-99	-47	DUF2750 domain-containing protein	((&))
sRNA11	19	Gene311	-11.52	0.5403442646646639	0.0578209600803811	15	46	-99	-59	branched-chain amino acid aminotransferase	((&))
sRNA6	20	Gene1396	-7.37	0.3717736157519851	0.0745202127059224	22	52	52	75	serine O-acetyltransferase	((&))
sRNA101	21	Gene262	-5.96	0.0710533928479071	0.1131002668914559	22	50	-188	-155	lactococcin 972 family bacteriocin	((&))
sRNA177	22	Gene488	-20.78	0.3790937620056236	0.0813224224013279	27	63	17	60	radical SAM family heme chaperone HemW	(((((&)))))
sRNA133	23	Gene2417	-8.54	0.1438495045070257	0.0992529894039565	39	49	15	58	head-tail adaptor protein	((&))
sRNA90	24	Gene1967	-12.09	0.2311079551952937	0.0929644908401174	25	36	-137	-94	indole-3-glycerol phosphate synthase TrpC	(((&)))
sRNA305	25	Gene1350	-8.87	0.4329220921567318	0.0656204879427802	19	28	-9	26	glycine cleavage system protein H	((&))
sRNA31	26	Gene2683	-18.91	0.1553389932184765	0.1488664427095231	13	46	62	82	NAD-dependent deacetylase	((((&))))
sRNA9	27	Gene2562	-10.51	0.0143712960622178	0.4611688619501274	32	47	-151	-112	IS21-like element helper ATPase IstB	((&))
sRNA17	28	Gene1290	-6.82	0.704534636350894	0.0515366493419216	11	19	26	49	L-lactate dehydrogenase (quinone)	((&))
sRNA209	29	Gene1098	-7.7	0.8455527479424134	0.0556355787994238	8	22	69	94	FAD-dependent monooxygenase	((&))
sRNA203	30	Gene80	-6.75	0.1700119071046236	0.087505703847299	14	51	-150	-92	NADP-dependent oxidoreductase	((&))
sRNA249	31	Gene2491	-10.29	0.8124989236483504	0.1022477670507363	17	37	-118	-91	heme uptake protein IsdC	((&))
sRNA225	32	Gene698	-23.58	7.251976796851528e-13	0.3822719975272566	13	51	52	100	bifunctional diaminohydroxyphosphoribosylaminopyrimidine deaminase/5-amino-6-(5-phosphoribosylamino)uracil reductase RibD	(((((&)))))
