sRNA_ID	mRNA_ID	Prediction_Probability
sRNA9	Gene695	0.59735
sRNA189	Gene1828	0.46135
sRNA150	Gene1967	0.51074
sRNA214	Gene1017	0.57829
sRNA50	Gene2859	0.53204
sRNA50	Gene325	0.53922
sRNA3	Gene217	0.53102
sRNA221	Gene909	0.49987
sRNA6	Gene56	0.52118
sRNA214	Gene2593	0.54538
sRNA305	Gene1668	0.52948
sRNA50	Gene610	0.49422
sRNA50	Gene1764	0.55189
sRNA221	Gene1111	0.47264
sRNA272	Gene1117	0.50171
sRNA185	Gene959	0.4924
sRNA29	Gene2130	0.51534
sRNA29	Gene2400	0.56622
sRNA11	Gene311	0.50472
sRNA6	Gene1396	0.52805
sRNA101	Gene262	0.50045
sRNA177	Gene488	0.54102
sRNA133	Gene2417	0.5367
sRNA90	Gene1967	0.52291
sRNA305	Gene1350	0.54212
sRNA31	Gene2683	0.47379
sRNA9	Gene2562	0.48937
sRNA17	Gene1290	0.51366
sRNA209	Gene1098	0.52475
sRNA203	Gene80	0.52464
sRNA249	Gene2491	0.49213
sRNA225	Gene698	0.54974
sRNA2	Gene1438	0.53778
sRNA56	Gene1370	0.49001
sRNA331	Gene349	0.48157
sRNA149	Gene2309	0.47756
sRNA9	Gene953	0.51481
sRNA56	Gene2507	0.50552
sRNA204	Gene2639	0.57124
sRNA177	Gene1548	0.49691
sRNA157	Gene1142	0.51393
sRNA212	Gene292	0.55931
sRNA128	Gene2779	0.49544
sRNA8	Gene2401	0.51991
sRNA221	Gene794	0.54502
sRNA242	Gene597	0.46464
sRNA221	Gene398	0.57219
sRNA6	Gene1226	0.51332
sRNA199	Gene1157	0.55315
sRNA209	Gene472	0.54474
sRNA16	Gene1406	0.52026
sRNA133	Gene2166	0.52933
sRNA72	Gene786	0.5401
sRNA101	Gene1376	0.5152
sRNA9	Gene2365	0.47045
sRNA13	Gene702	0.49866
sRNA13	Gene1106	0.47538
sRNA221	Gene432	0.50066
sRNA133	Gene1357	0.53634
sRNA177	Gene910	0.52491
sRNA226	Gene701	0.53232
sRNA242	Gene110	0.50126
sRNA140	Gene554	0.57091
sRNA282	Gene1669	0.48641
sRNA287	Gene2441	0.48169
sRNA112	Gene385	0.54569
sRNA150	Gene817	0.53429
sRNA232	Gene816	0.51589
sRNA244	Gene1563	0.52619
sRNA220	Gene1180	0.55868
sRNA37	Gene478	0.59764
sRNA16	Gene1317	0.52229
sRNA56	Gene2027	0.4889
sRNA100	Gene2796	0.53976
sRNA16	Gene2145	0.50268
sRNA31	Gene1027	0.45408
sRNA9	Gene263	0.54548
sRNA32	Gene354	0.54996
sRNA31	Gene2086	0.47898
sRNA128	Gene136	0.55702
sRNA239	Gene1331	0.51951
sRNA9	Gene867	0.56299
sRNA187	Gene898	0.56716
sRNA9	Gene409	0.50634
sRNA245	Gene1710	0.50288
sRNA17	Gene2820	0.51374
sRNA6	Gene1854	0.52934
sRNA239	Gene2660	0.50426
sRNA207	Gene1540	0.52088
sRNA53	Gene1286	0.5175
sRNA214	Gene1768	0.53261
sRNA31	Gene2047	0.46582
sRNA213	Gene1128	0.51319
sRNA229	Gene2846	0.52406
sRNA221	Gene1489	0.53837
sRNA104	Gene898	0.56285
sRNA255	Gene213	0.46355
sRNA13	Gene787	0.4962
sRNA50	Gene2340	0.5649
sRNA221	Gene530	0.49014
sRNA255	Gene1013	0.49441
sRNA255	Gene1152	0.48561
sRNA87	Gene2427	0.56481
sRNA50	Gene248	0.60548
sRNA183	Gene375	0.51791
sRNA225	Gene280	0.57413
sRNA16	Gene1271	0.52431
sRNA221	Gene1595	0.51101
sRNA240	Gene1094	0.55775
sRNA23	Gene2641	0.5212
sRNA69	Gene251	0.48363
sRNA79	Gene2596	0.52351
sRNA56	Gene1497	0.46798
sRNA221	Gene1005	0.54814
sRNA213	Gene1860	0.49657
sRNA29	Gene1874	0.57616
sRNA117	Gene829	0.51611
sRNA108	Gene559	0.55712
sRNA29	Gene1735	0.45543
